aX,aY,aZ,gX,gY,gZ
0.11,-0.28,0.93,-5.95,1.39,-1.68
0.11,-0.21,0.97,5.95,2.24,6.05
0.11,-0.16,0.98,-3.02,4.34,3.69
0.12,-0.17,0.97,-15.08,2.18,-1.62
0.11,-0.25,0.95,-14.48,-1.27,-2.09
0.11,-0.23,0.95,4.14,-2.14,-1.4
0.1,-0.18,0.97,-3.39,2.93,-0.65
0.14,-0.22,1.0,-7.58,2.97,-2.84
0.11,-0.28,0.96,-9.29,2.63,1.63
0.07,-0.24,0.95,11.52,1.7,-0.18
0.1,-0.15,0.96,-1.21,1.26,0.28
0.11,-0.22,0.94,-14.95,1.4,-0.08
0.11,-0.24,0.97,-0.92,4.47,1.32
0.1,-0.22,0.97,1.09,-0.46,0.95
0.11,-0.21,0.97,-4.69,-5.08,-0.5
0.12,-0.23,1.01,-5.21,-1.97,-0.13
0.1,-0.25,0.95,5.34,1.73,-0.56
0.11,-0.18,1.0,3.1,3.71,-0.32
0.11,-0.23,0.98,-8.38,-0.79,-1.01
0.1,-0.25,0.93,12.29,-5.41,-1.26
0.11,-0.17,0.96,15.14,-10.12,-1.6
0.13,-0.17,0.99,-4.57,-6.28,-1.58
0.12,-0.23,0.97,0.46,0.12,-1.79
0.11,-0.19,1.0,2.37,0.48,-1.27
0.11,-0.22,0.96,0.89,1.66,-0.43
0.12,-0.23,0.98,10.12,1.12,-0.41
0.13,-0.19,0.99,6.82,-0.53,-0.94
0.12,-0.19,0.97,1.12,1.21,-0.69
0.11,-0.2,0.94,6.15,3.5,0.26
0.11,-0.17,0.98,2.69,2.07,0.37
0.12,-0.18,0.98,-4.05,1.51,0.3
0.13,-0.2,0.98,0.43,1.34,-0.31
0.12,-0.18,0.97,3.92,-0.43,-0.97
0.12,-0.18,0.97,3.75,0.69,-1.46
0.12,-0.18,0.97,2.58,1.43,-1.39
0.11,-0.19,0.97,1.63,1.53,-0.62
0.12,-0.18,0.99,1.05,0.87,-0.2
0.12,-0.17,0.98,0.69,0.92,-0.07
0.12,-0.17,0.98,1.72,2.0,0.63
0.12,-0.17,0.97,3.03,2.61,1.09
0.12,-0.17,0.97,6.15,1.79,0.71
0.12,-0.15,0.97,4.89,1.18,-0.46
0.12,-0.16,0.98,2.82,1.38,-0.78
0.12,-0.16,0.98,4.47,1.37,-1.08
0.12,-0.16,0.97,3.79,1.51,-0.66
0.11,-0.16,0.99,2.23,2.05,-0.21
0.11,-0.16,0.98,3.45,1.93,-0.08
0.12,-0.16,0.98,7.14,1.35,0.27
0.11,-0.14,0.98,4.08,1.25,0.18
0.11,-0.14,0.99,4.66,3.12,-0.05
0.12,-0.13,0.99,-0.47,1.64,0.4
0.11,-0.15,0.97,6.52,2.79,0.77
0.11,-0.13,0.99,8.11,2.08,0.2
0.11,-0.13,0.99,1.13,0.45,-0.05
0.12,-0.14,0.96,3.9,2.05,-0.21
0.12,-0.12,1.0,6.62,2.13,-0.34
0.12,-0.11,0.99,1.66,2.07,0.08
0.11,-0.13,0.98,6.27,2.02,0.32
0.11,-0.11,1.01,4.24,2.32,-0.4
0.12,-0.15,0.99,4.87,5.46,1.95
0.11,-0.11,0.95,18.62,2.44,3.34
0.1,-0.06,0.98,3.98,0.07,1.62
0.11,-0.09,1.0,-1.21,1.34,-1.09
0.1,-0.12,1.0,-0.37,0.63,-1.14
0.1,-0.12,0.98,8.37,0.85,0.56
0.1,-0.07,0.99,7.36,0.98,0.58
0.11,-0.07,0.98,4.7,2.3,-0.66
0.1,-0.08,0.99,1.82,1.39,0.19
0.11,-0.08,0.97,2.69,-0.28,-0.47
0.11,-0.07,0.98,2.79,0.82,-0.6
0.11,-0.07,0.98,0.23,-0.11,-0.81
0.11,-0.08,0.97,-0.83,-0.24,-0.73
0.11,-0.08,0.98,-1.38,-0.06,-1.13
0.12,-0.08,0.96,0.53,0.56,-1.73
0.11,-0.06,0.97,0.2,-0.2,-3.56
0.12,-0.04,1.03,-14.91,0.15,2.02
0.13,-0.09,0.98,-7.28,-0.89,0.83
0.11,-0.09,0.97,-1.63,0.88,-0.01
0.11,-0.09,0.94,4.82,-0.32,0.55
0.11,-0.03,0.96,-1.39,-1.44,-1.07
0.12,-0.06,0.99,-15.58,-1.99,-2.51
0.1,-0.07,1.03,-20.13,-3.33,-4.13
0.12,-0.09,1.02,-26.44,-2.42,-4.82
0.14,-0.14,0.98,-19.45,-0.89,-2.35
0.12,-0.14,0.99,-4.77,-0.12,-2.01
0.12,-0.11,1.0,-11.15,0.66,0.0
0.12,-0.13,0.98,-8.98,2.06,0.55
0.12,-0.11,0.97,-6.13,1.21,0.45
0.12,-0.12,0.99,-14.53,-0.56,-0.02
0.12,-0.15,0.99,-9.42,-0.38,-0.24
0.12,-0.12,1.0,-9.69,0.53,-0.14
0.12,-0.15,0.98,-11.24,1.98,0.49
0.12,-0.14,0.99,-4.82,2.07,0.19
0.12,-0.13,0.98,-8.24,0.5,-1.21
0.12,-0.15,0.98,-10.69,-0.18,-1.6
0.13,-0.16,0.98,-10.03,0.24,-1.45
0.13,-0.16,0.98,-9.11,1.65,-0.37
0.13,-0.15,0.98,-8.88,1.45,-1.02
0.12,-0.16,0.98,-9.83,-0.57,-1.85
0.13,-0.17,0.98,-9.99,-0.56,-2.08
0.13,-0.19,0.97,-6.41,2.63,-0.24
0.12,-0.16,1.01,-6.88,2.66,1.21
0.12,-0.18,0.96,-12.18,3.87,1.36
0.12,-0.19,0.95,-2.24,6.79,1.02
0.12,-0.16,0.98,-0.47,5.31,1.07
0.12,-0.16,1.0,-16.38,5.18,0.34
0.11,-0.2,0.99,-15.29,5.54,-0.58
0.11,-0.2,0.96,-2.65,2.49,-0.82
0.11,-0.16,0.96,-4.82,1.6,-0.97
0.11,-0.18,0.98,-12.78,2.35,-0.85
0.11,-0.21,0.98,-8.16,1.53,0.24
0.11,-0.2,0.97,-4.78,1.67,-0.06
0.11,-0.2,0.96,-5.7,0.29,0.24
0.1,-0.21,0.97,0.85,-6.49,-0.61
0.12,-0.18,0.97,4.22,-6.02,-0.89
0.13,-0.18,0.98,-5.99,0.35,-0.67
0.12,-0.22,0.97,-4.76,2.96,-0.68
0.12,-0.2,0.97,0.07,2.1,-0.26
0.11,-0.18,0.96,-3.24,0.9,-0.18
0.12,-0.19,0.97,-5.61,0.02,-0.31
0.12,-0.2,0.97,-6.12,-0.69,-0.52
0.12,-0.21,0.97,-5.13,-0.4,-0.22
0.12,-0.21,0.97,-4.34,-0.21,-0.11
0.12,-0.21,0.97,-4.37,-0.43,-0.38
0.12,-0.21,0.98,-4.08,-1.26,-0.59
0.13,-0.2,0.97,-3.51,-0.85,-0.51
0.12,-0.2,0.98,-6.01,0.39,-0.43
0.12,-0.22,0.97,-2.8,2.61,-0.42
0.13,-0.2,1.02,-5.9,0.94,-0.22
0.12,-0.23,0.96,-5.05,0.26,-0.58
0.12,-0.24,0.95,11.76,1.72,-0.07
0.12,-0.18,0.99,7.31,0.69,-0.07
0.13,-0.2,0.99,-8.34,0.47,-0.8
0.13,-0.23,0.95,0.53,1.83,-0.53
0.12,-0.18,0.97,5.73,1.28,-0.15
0.12,-0.18,0.98,-2.31,0.99,-0.09
0.12,-0.22,0.99,-1.31,1.37,-0.44
0.13,-0.22,0.96,7.18,0.99,0.01
0.12,-0.19,0.97,9.56,2.02,-0.31
0.12,-0.18,0.97,3.2,1.91,0.08
0.13,-0.2,0.97,4.53,2.26,0.35
0.11,-0.19,0.98,3.96,1.69,-0.06
0.12,-0.18,0.97,1.84,1.13,-0.79
0.12,-0.17,0.97,1.66,1.06,-0.43
0.12,-0.18,0.98,1.7,1.18,0.04
0.12,-0.17,0.97,3.73,1.53,0.08
0.12,-0.16,0.98,1.39,1.56,-0.08
0.12,-0.18,0.98,1.13,1.65,-0.37
0.12,-0.18,0.98,2.42,1.3,-0.13
0.11,-0.18,0.97,4.03,1.31,-0.21
0.12,-0.16,0.97,4.28,1.85,-0.18
0.12,-0.16,0.97,2.55,1.92,-0.09
0.12,-0.16,0.99,2.26,1.32,-0.05
0.12,-0.17,0.97,2.31,0.92,-0.15
0.13,-0.17,0.96,4.08,1.06,-0.3
0.13,-0.14,1.0,3.35,1.84,-0.29
0.12,-0.14,0.97,-3.24,1.61,0.04
0.11,-0.17,0.97,4.78,2.27,0.07
0.12,-0.15,0.98,4.0,0.98,-0.34
0.12,-0.15,0.97,1.93,0.51,-0.69
0.12,-0.14,0.97,1.78,2.21,-0.25
0.12,-0.13,0.98,3.66,2.28,-0.23
0.12,-0.13,0.99,2.71,1.9,0.37
0.12,-0.14,0.99,1.07,1.47,0.07
0.12,-0.13,1.01,-0.72,1.8,-0.3
0.11,-0.15,0.99,3.34,0.79,-0.5
0.12,-0.14,0.97,7.98,1.57,-0.02
0.12,-0.13,0.97,8.49,2.41,0.02
0.11,-0.12,0.98,4.23,1.63,-0.02
0.12,-0.12,0.99,0.18,0.82,-0.26
0.11,-0.12,0.98,3.92,1.1,-0.31
0.12,-0.1,0.98,3.07,1.73,0.33
0.12,-0.11,0.99,1.74,1.58,0.14
0.12,-0.11,0.98,3.18,1.44,-0.23
0.12,-0.11,0.99,2.62,1.82,-0.34
0.12,-0.11,0.97,3.11,2.34,-0.2
0.12,-0.1,0.99,3.53,1.88,-0.19
0.11,-0.1,0.99,2.44,1.24,-0.45
0.11,-0.1,0.99,1.95,1.04,-0.13
0.11,-0.1,0.98,2.24,0.43,-0.15
0.12,-0.09,0.98,1.93,1.02,-0.09
0.12,-0.1,0.99,2.92,1.47,-0.24
0.12,-0.07,1.01,-3.97,1.19,-0.13
0.11,-0.11,0.96,3.86,1.8,0.35
0.1,-0.08,0.98,2.87,1.82,-0.08
0.1,-0.1,0.99,1.0,0.12,-0.29
0.12,-0.09,0.96,-0.82,0.69,-0.42
0.11,-0.08,0.98,0.74,1.27,-0.27
0.11,-0.07,0.99,-0.63,1.45,0.05
0.11,-0.08,0.99,-3.5,1.03,0.15
0.12,-0.09,0.99,-2.88,0.65,-0.18
0.12,-0.08,0.98,-2.77,1.06,-0.27
0.11,-0.09,0.98,-0.6,1.5,-0.15
0.11,-0.08,0.99,-3.03,1.46,-0.32
0.11,-0.1,0.98,-3.22,0.79,-0.67
0.12,-0.09,0.99,-2.57,0.37,-0.75
0.12,-0.09,0.98,-4.0,1.24,-0.72
0.11,-0.09,0.97,-0.94,1.02,0.0
0.11,-0.07,0.99,-3.01,0.2,0.31
0.12,-0.08,1.0,-8.75,0.04,-0.27
0.11,-0.1,1.0,-9.23,0.27,-0.63
0.12,-0.1,1.0,-6.53,0.34,-0.56
0.12,-0.1,0.99,-5.82,0.11,-0.66
0.13,-0.09,0.99,-3.76,0.82,-0.42
0.11,-0.09,0.98,-5.96,0.56,-0.29
0.12,-0.1,0.99,-8.24,0.11,-0.4
0.12,-0.11,0.98,-7.05,0.11,-0.4
0.11,-0.11,0.98,-3.69,1.38,-0.83
0.11,-0.09,1.02,-10.65,-0.37,-0.23
0.12,-0.13,0.98,-10.28,0.94,-0.49
0.12,-0.13,0.97,-4.06,1.02,-0.54
0.12,-0.11,1.01,-4.69,-0.6,-0.61
0.12,-0.12,0.99,-11.97,1.13,-0.94
0.12,-0.14,0.97,-7.24,1.8,-0.54
0.12,-0.11,0.99,-3.33,1.84,-0.18
0.12,-0.11,0.99,-9.75,1.37,0.02
0.12,-0.14,0.97,-8.72,1.24,-0.29
0.12,-0.13,1.0,-9.99,0.92,-0.28
0.12,-0.14,0.99,-11.34,1.51,-0.79
0.11,-0.15,0.98,-8.47,1.44,-0.86
0.11,-0.15,0.99,-3.7,1.67,-0.46
0.12,-0.14,1.01,-8.09,1.27,-0.37
0.12,-0.15,0.98,-7.77,0.83,-0.49
0.12,-0.15,0.97,-3.39,1.32,-0.25
0.11,-0.13,0.98,-4.61,1.37,0.06
0.12,-0.14,0.98,-6.64,1.04,-0.2
0.12,-0.16,0.98,-8.01,0.92,-0.62
0.12,-0.16,0.98,-7.95,0.92,-0.82
0.12,-0.16,0.98,-5.53,1.18,-0.6
0.12,-0.16,0.97,-6.32,1.35,-0.17
0.12,-0.17,0.98,-5.95,0.71,-0.42
0.12,-0.16,0.99,-6.25,1.02,-0.3
0.12,-0.16,0.98,-6.84,1.99,-0.12
0.12,-0.17,0.98,-5.83,2.02,-0.41
0.11,-0.16,1.0,-8.24,2.17,-0.35
0.12,-0.17,0.96,-11.84,0.81,-0.33
0.11,-0.19,0.96,-2.22,2.44,-0.27
0.12,-0.18,0.97,-0.54,2.02,0.02
0.11,-0.17,1.01,-10.79,0.51,-0.59
0.11,-0.2,0.98,-13.51,1.89,-0.91
0.12,-0.19,0.98,-4.32,3.17,-0.46
0.11,-0.16,0.96,-4.82,1.07,0.28
0.12,-0.19,0.97,-7.84,1.2,0.52
0.12,-0.19,0.99,-7.73,1.1,0.45
0.11,-0.2,0.96,-3.59,-0.46,-0.02
0.11,-0.18,0.97,-4.09,0.56,-0.55
0.12,-0.2,0.96,-5.6,1.89,-0.67
0.11,-0.2,0.98,-5.4,2.24,-0.71
0.11,-0.21,0.98,-5.63,0.84,-0.85
0.11,-0.21,0.97,-4.6,0.3,-0.56
0.11,-0.2,0.97,-3.83,0.84,0.23
0.13,-0.2,1.0,-4.64,3.6,0.24
0.11,-0.2,0.99,-7.02,4.45,0.42
0.11,-0.22,0.97,-5.14,2.55,0.2
0.1,-0.22,0.97,2.37,0.84,-0.21
0.11,-0.19,0.96,2.46,-1.27,-0.45
0.11,-0.19,0.98,-1.66,-1.18,-0.91
0.11,-0.2,0.96,-1.53,-0.46,-0.92
0.12,-0.21,0.96,-1.18,0.34,-0.53
0.11,-0.21,0.97,-1.27,-0.37,-0.3
0.12,-0.2,0.98,0.18,-0.74,-0.47
0.12,-0.2,0.98,0.95,-1.27,-0.7
0.12,-0.2,0.98,0.76,0.94,-1.0
0.12,-0.19,0.99,-1.37,0.31,-0.18
0.11,-0.19,0.95,0.82,0.67,0.1
0.12,-0.2,0.98,6.74,1.25,-0.13
0.11,-0.19,0.98,2.4,-0.92,-0.6
0.12,-0.2,0.98,-2.44,0.27,-0.9
0.12,-0.2,0.96,4.74,0.76,-0.4
0.12,-0.17,0.97,4.8,0.67,-0.08
0.12,-0.18,0.97,-2.14,1.09,0.02
0.12,-0.2,0.98,0.97,1.34,-0.27
0.12,-0.18,0.98,1.95,-0.02,-0.44
0.11,-0.17,0.97,2.76,1.14,-0.66
0.12,-0.19,0.97,2.44,1.45,-0.11
0.12,-0.18,0.98,3.05,1.3,-0.24
0.11,-0.18,0.98,1.08,0.55,-0.51
0.12,-0.17,0.99,1.19,1.02,-0.5
0.12,-0.16,0.97,1.23,1.5,-0.04
0.12,-0.17,0.98,1.37,1.37,0.07
0.12,-0.17,0.98,1.34,1.7,-0.13
0.12,-0.17,0.98,3.04,1.7,-0.17
0.12,-0.17,0.97,2.6,1.69,-0.24
0.11,-0.16,0.97,4.49,1.21,-0.31
0.12,-0.15,0.99,1.92,1.26,-0.24
0.12,-0.17,0.98,-0.02,1.27,-0.28
0.12,-0.16,0.97,3.56,1.51,0.08
0.11,-0.14,0.99,1.08,1.44,0.11
0.11,-0.16,0.98,-0.56,1.4,0.02
0.12,-0.15,0.97,3.11,0.76,-0.18
0.12,-0.13,0.99,2.76,1.74,-0.43
0.11,-0.14,0.97,-2.66,1.34,-0.05
0.11,-0.16,0.97,3.47,1.88,0.27
0.11,-0.15,0.99,2.5,1.6,0.21
0.12,-0.14,0.98,2.41,0.08,-0.58
0.12,-0.14,0.98,-1.92,1.79,-0.56
0.12,-0.14,0.98,0.81,2.03,-0.34
0.12,-0.13,0.98,1.43,1.68,-0.04
0.12,-0.14,0.99,0.48,1.24,-0.08
0.12,-0.13,1.0,0.19,1.7,-0.07
0.11,-0.14,0.98,1.03,1.63,0.08
0.12,-0.13,0.99,0.78,4.32,0.4
0.11,-0.14,0.98,1.34,4.79,0.34
0.1,-0.13,0.98,5.34,1.91,0.18
0.1,-0.12,0.99,1.18,0.78,-0.06
0.12,-0.12,0.99,0.62,0.81,-0.11
0.11,-0.12,0.99,1.15,1.76,0.12
0.12,-0.13,0.99,1.65,1.72,-0.01
0.11,-0.12,0.99,1.16,1.42,-0.16
0.11,-0.12,0.99,1.12,1.22,-0.38
0.11,-0.12,0.98,2.65,1.1,-0.22
0.1,-0.11,0.98,3.33,1.53,-0.07
0.11,-0.11,0.99,0.13,2.32,-0.01
0.11,-0.12,0.98,1.0,1.9,-0.01
0.11,-0.12,0.98,3.38,0.68,-0.05
0.1,-0.1,0.99,2.62,0.02,0.14
0.11,-0.1,1.0,-0.21,0.5,-0.39
0.11,-0.11,0.98,-5.5,-0.21,-0.2
0.11,-0.12,0.97,4.95,0.9,0.05
0.11,-0.1,0.98,-0.35,1.09,-0.22
0.1,-0.1,1.0,0.5,-0.82,-0.96
0.11,-0.1,0.98,-2.82,-0.46,-0.87
0.12,-0.1,0.99,-0.45,0.93,-0.63
0.11,-0.09,0.99,-2.89,0.89,-0.04
0.12,-0.11,0.98,-0.46,0.68,0.08
0.11,-0.1,0.98,-0.48,0.14,-0.34
0.12,-0.1,0.98,-5.34,0.23,-0.15
0.12,-0.11,0.98,-4.93,0.65,-0.98
0.12,-0.11,0.98,-3.88,1.58,-0.85
0.11,-0.11,0.99,-2.73,1.06,-0.85
0.11,-0.11,0.99,-4.33,0.14,-0.89
0.12,-0.1,0.99,-5.18,0.37,-0.4
0.12,-0.1,0.98,-4.8,0.76,0.09
0.12,-0.09,0.98,-5.92,0.73,-0.21
0.11,-0.11,0.98,-5.86,0.31,-0.47
0.11,-0.1,0.98,-7.63,-0.69,-0.86
0.12,-0.11,0.99,-8.22,-0.4,-0.99
0.12,-0.12,0.99,-7.58,-0.32,-0.96
0.12,-0.13,0.97,-5.64,-0.56,-0.89
0.11,-0.12,0.98,-3.94,-0.81,-0.73
0.12,-0.11,1.0,-7.35,-0.57,-0.53
0.12,-0.13,0.99,-11.65,0.86,-0.18
0.12,-0.13,0.99,-9.65,1.05,-0.35
0.13,-0.12,0.99,-11.7,-0.33,-0.63
0.12,-0.15,0.96,-4.58,1.07,-0.5
0.12,-0.14,0.97,-1.6,1.07,-0.22
0.12,-0.13,0.99,-6.65,0.21,-0.74
0.12,-0.15,0.99,-11.98,1.05,-0.82
0.13,-0.15,0.97,-9.15,0.97,-0.5
0.11,-0.14,0.97,-7.09,0.69,-0.37
0.12,-0.14,0.98,-13.92,-1.37,0.33
0.13,-0.16,0.99,-13.98,-0.29,0.44
0.13,-0.17,0.97,-10.19,0.07,-0.08
0.13,-0.17,0.98,-7.4,1.89,-0.21
0.12,-0.17,0.98,-6.63,2.04,-0.56
0.12,-0.18,0.97,-7.49,1.37,-0.45
0.12,-0.18,0.98,-7.76,1.69,0.02
0.12,-0.18,0.98,-6.27,1.05,-0.07
0.12,-0.17,0.97,-6.06,1.76,-0.34
0.12,-0.18,0.97,-7.0,2.53,-0.5
0.11,-0.18,0.97,-6.93,0.53,0.21
0.12,-0.18,0.98,-8.89,1.05,-0.21
0.13,-0.2,0.99,-11.02,4.32,-0.07
0.12,-0.2,0.99,-10.56,5.01,-0.49
0.12,-0.21,0.98,-5.66,3.03,-0.53
0.12,-0.19,0.97,-5.44,2.38,-0.11
0.11,-0.2,0.97,-8.39,2.32,0.16
0.12,-0.21,0.97,-5.19,1.74,-0.11
0.13,-0.2,0.98,-3.69,3.81,-1.15
0.1,-0.2,0.98,-8.33,3.08,-0.64
0.11,-0.23,0.95,-6.97,1.63,0.37
0.11,-0.21,0.97,3.63,3.47,-0.28
0.12,-0.19,0.99,-7.63,0.83,-1.29
0.12,-0.23,0.98,-15.37,-0.72,-1.98
0.12,-0.25,0.95,-1.13,1.15,-1.53
0.11,-0.19,0.95,4.6,2.86,0.09
0.11,-0.19,0.96,-5.63,3.21,1.31
0.12,-0.22,0.98,-7.04,4.27,1.18
0.11,-0.22,0.97,-5.08,3.6,0.49
0.11,-0.22,0.96,-5.21,2.05,-0.44
0.11,-0.22,0.96,-3.74,0.59,-1.11
0.11,-0.22,0.96,-2.11,0.43,-0.68
0.1,-0.23,0.97,-3.51,-3.21,-1.0
0.12,-0.23,0.99,-2.92,-2.45,-1.48
0.11,-0.22,0.98,-1.54,0.87,-1.18
0.11,-0.22,0.96,-2.96,-0.56,-0.06
0.11,-0.22,0.97,-1.73,-2.83,0.34
0.12,-0.21,0.98,-0.34,-4.11,-0.32
0.12,-0.22,0.97,-2.4,-2.18,-0.96
0.11,-0.22,0.97,-1.27,-0.4,-0.98
0.12,-0.21,0.97,-2.37,0.04,-1.02
0.12,-0.22,0.97,-3.42,0.12,-0.59
0.12,-0.23,0.97,-0.53,0.19,-0.37
0.12,-0.22,0.97,-0.2,0.71,-0.43
0.13,-0.22,0.96,-1.32,0.79,-0.64
0.12,-0.21,0.99,-0.71,1.42,-0.36
0.12,-0.22,0.97,-3.55,0.43,0.1
0.12,-0.23,0.96,3.5,1.94,-0.27
0.12,-0.22,0.98,6.63,0.94,-0.71
0.12,-0.21,0.98,3.28,0.05,-0.85
0.12,-0.22,0.95,3.86,1.2,-0.78
0.13,-0.2,0.97,8.53,1.19,-0.19
0.13,-0.17,0.97,2.64,1.76,0.11
0.12,-0.21,0.97,-1.43,1.9,-0.08
0.12,-0.22,0.98,3.4,1.4,-0.33
0.13,-0.2,0.98,4.34,0.98,-0.51
0.12,-0.19,0.97,3.94,1.57,-0.29
0.12,-0.19,0.96,5.64,1.98,0.02
0.11,-0.19,0.97,4.58,1.61,-0.21
0.12,-0.18,0.98,3.28,1.05,-0.4
0.12,-0.18,0.98,2.77,1.45,-0.04
0.12,-0.17,0.97,2.08,1.38,0.07
0.12,-0.18,0.97,3.49,1.51,0.02
0.12,-0.17,0.98,3.18,1.59,-0.11
0.12,-0.17,0.98,3.21,1.4,-0.33
0.12,-0.17,0.99,2.94,1.24,-0.47
0.12,-0.18,0.98,4.35,1.86,-0.15
0.11,-0.17,0.98,6.17,1.16,-0.18
0.11,-0.16,0.97,5.09,1.36,-0.26
0.11,-0.16,0.97,5.71,1.19,-0.22
0.12,-0.15,0.97,5.13,2.02,-0.3
0.13,-0.13,1.01,-0.28,1.33,-0.25
0.12,-0.16,0.96,0.98,1.56,-0.05
0.12,-0.16,0.98,6.11,2.47,-0.37
0.12,-0.15,0.98,2.94,0.81,-0.51
0.12,-0.15,0.97,2.21,1.51,-0.48
0.12,-0.14,0.98,1.75,2.05,-0.3
0.11,-0.13,0.99,1.49,1.93,-0.09
0.11,-0.12,0.99,0.08,0.21,0.11
0.12,-0.14,0.99,0.49,1.11,-0.42
0.11,-0.15,0.96,7.64,2.48,-0.45
0.11,-0.12,0.98,11.02,1.89,-0.11
0.12,-0.11,0.98,1.84,1.99,-0.14
0.12,-0.13,0.98,3.82,2.41,-0.14
0.11,-0.12,0.99,2.18,1.05,-0.17
0.12,-0.12,0.99,0.13,1.18,-0.4
0.11,-0.12,0.98,1.96,1.15,-0.16
0.13,-0.12,0.99,4.56,1.43,0.15
0.12,-0.1,0.99,0.76,1.39,-0.17
0.12,-0.11,0.98,0.35,1.4,-0.31
0.11,-0.11,0.98,3.22,1.47,-0.45
0.11,-0.1,0.99,-0.29,1.37,-0.19
0.11,-0.1,1.0,0.26,1.05,-0.41
0.1,-0.11,0.99,0.6,0.53,-0.59
0.12,-0.11,0.97,6.68,1.41,-0.34
0.12,-0.09,0.99,7.38,2.06,-0.31
0.12,-0.08,1.01,-7.64,1.63,-0.13
0.11,-0.13,0.95,8.62,1.37,0.21
0.12,-0.07,0.99,3.78,1.29,0.03
0.11,-0.1,0.99,0.31,0.26,-0.19
0.12,-0.09,0.98,-2.11,0.6,-0.65
0.12,-0.09,0.98,1.76,1.24,-0.52
0.11,-0.07,0.98,0.91,0.84,-0.25
0.11,-0.08,0.98,-2.97,0.68,0.0
0.11,-0.08,1.01,-4.28,0.37,-0.44
